"","temp","N","P","NPratio","Ncat","Ratiocat","GPP","NEP","ER","Nup","Nfix","Nfixers","nonNfixers","AFDM"
"1",2.8203349816111,0.11,0.36,0.31,"0.11","low",8.91783483409615,8.5730486735314,7.68555920660685,5.40604545309673,3.32965023042126,2.14190139931999,-2.17436779519329,2.13979484641631
"2",2.98787416533583,0.11,0.36,0.31,"0.11","low",8.62531804883828,8.2820291531586,7.38939616566749,6.22379267457589,4.11787505965555,1.82726899975958,-0.878736039246852,1.87189339446059
"3",2.60497405945933,3.68,0.36,10.22,"3.68","high",10.5244764246008,10.2409768664017,9.12552852453783,7.24672279409064,2.18122423597365,-4.02185405460201,3.61652594199474,3.61346601482406
"4",2.13400982969783,3.68,0.36,10.22,"3.68","high",10.9012354822976,9.64944882822837,10.5643724528564,6.72444689467404,2.7362210781615,-4.02185405460201,2.84127954811555,2.83462411315923
"5",2.98787416533583,3.68,0.36,10.22,"3.68","high",10.0934079404862,9.78817160000099,8.757999896003,6.95091649985781,3.65251180990602,-0.631785042540163,3.07929912229509,3.09753045161503
"6",2.60497405945933,3.68,3.94,0.93,"3.68","low",9.76392901200591,9.47489398038795,8.38168257994394,7.52347532228003,2.67906266413092,-4.02185405460201,3.37805430125979,3.37416870927423
"7",2.60497405945933,0.11,0.36,0.31,"0.11","low",8.09482565814505,7.71541216993219,6.94198117242001,5.62629000333606,2.86220088092947,1.02444021035707,-0.951752120152314,1.11185751541813
"8",2.98787416533583,3.68,0.36,10.22,"3.68","high",10.8393545519714,10.3533711212403,9.88460362066005,7.45177525457694,0.998528830005864,-0.0202307179138972,3.50093493284452,3.52620757174299
"9",2.39555599245073,3.68,0.36,10.22,"3.68","high",8.19868323046684,7.64266518807331,7.346568152299,4.73795231561018,0.305381649445919,-4.02185405460201,1.2639685225416,1.23132334490873
"10",2.98787416533583,3.68,3.94,0.93,"3.68","low",10.0049765028172,9.48890062206933,9.09650983071254,5.75038458328501,1.56563528983541,0.0679461865700263,3.07700308833365,3.11936483399927
