"","MetDate","channel","Met_gAFDM_m2","Nup_gAFDM_m2","Pup_gAFDM_m2","Nfix_gAFDM_m2"
"1","D1",1,15.6116666666665,31.6376470588234,2.29201754385962,15.9599145299144
"2","D1",2,0.927999999999984,1.19999999999996,4.21971014492748,0.655652173913034
"3","D1",3,75.4600000000004,19.5673469387755,34.448888888889,19.3429999999998
"4","D1",4,91.0800000000002,18.809722222222,25.6944444444442,38.4249999999996
"5","D1",5,50.7599999999986,59.8587134502917,25.83,52.860555555555
"6","D1",6,7.53999999999991,8.8100925925925,7.19361111111103,11.6966666666665
"7","D1",7,24.5333333333334,13.9354838709676,27.9719999999998,27.3000000000001
"8","D1",8,0.824888888888874,2.63038548752832,1.21799999999999,0.799111111111102
"9","D1",9,104.880000000001,41.1166062801928,50.7306666666661,82.0753703703694
"10","D1",10,53.3600000000002,25.1941609977321,32.8153846153847,63.0266666666659
"11","D1",11,38.6399999999995,48.2442080378245,37.3666666666665,36.9911111111107
"12","D1",12,50.9999999999997,33.9452631578944,56.429166666666,47.8344827586206
"13","D1",13,38.5699999999995,39.730976430976,31.4649999999996,42.4245310245305
"14","D1",14,22.2118518518516,30.0181557846503,52.0168421052631,36.1736842105259
"15","D1",15,23.6879999999999,28.5182940516271,30.5555555555556,38.7600000000003
"16","D1",16,31.3280000000005,66.7607843137255,29.6666666666671,23.1000000000001
"17","D1",17,21.7866666666668,43.438775510204,36.4547368421051,67.5799999999998
"18","D1",18,17.5933333333331,23.6249999999997,11.5920000000004,16.8034534534533
"19","D1",19,44.0370370370365,34.3286411411408,49.8413333333328,35.4032076719573
"20","D1",20,2.4313131313131,2.60999999999996,3.50992063492059,4.98948717948712
"21","D1",21,38.4,30.5999999999999,44.5565497076018,133.733333333334
"22","D1",22,54.0960000000001,41.8164794007486,17.7942857142858,21.6654166666664
"23","D1",23,20.4000000000004,30.6666666666665,30.1963636363636,14.7636363636364
"24","D1",24,8.27037037037028,4.39027777777772,13.4849999999998,3.7536796536796
"25","D1",25,60,21.8296703296701,48.3816666666661,39.6
"26","D1",26,12.8999999999999,14.909759129759,13.8036363636363,18.0256410256407
"27","D1",27,41.5774074074069,39.8434691358021,45.1529999999995,32.7999999999999
"28","D1",28,11.9307692307687,8.75897435897444,12.8924999999999,9.50000000000006
"29","D1",29,86.6879999999994,30.896296296296,19.1428571428573,33.7600000000002
"30","D1",30,62.5600000000013,38.5669312169308,44.3556790123452,34.4000000000002
"31","D2",1,29.9076923076925,40.1877450980388,26.8965517241379,20.8879120879122
"32","D2",2,0.471686746987938,0.612222222222219,1.77624999999999,1.5818181818182
"33","D2",3,15.8395755305866,35.8921834625319,16.9531914893617,8.90434782608721
"34","D2",4,20.9560710194728,10.329964539007,19.1100000000001,9.76494845360819
"35","D2",5,31.4954710144924,16.7034313725488,13.3847826086955,9.31874999999996
"36","D2",6,14.4660515873014,12.6834722222221,18.6888888888887,12.0257936507935
"37","D2",7,17.5483870967742,14.8020833333332,14.8842105263158,13.1516483516482
"38","D2",8,0.353405017921137,0.741111111111102,3.90058479532159,0.873118279569881
"39","D2",9,9.57894736842098,14.2799999999999,17.8414444444442,15.4099999999998
"40","D2",10,74.8635166093921,50.494323671497,49.6172043010754,107.882478632477
"41","D2",11,12.7587628865981,6.95054347826079,12.0133333333333,6.40000000000018
"42","D2",12,36.4916666666663,21.4639455782311,28.6185457516337,28.9653524492231
"43","D2",13,52.2585858585853,45.6585227272722,44.7984598459841,47.8782359679261
"44","D2",14,5.11125106283516,8.4539072039071,1.515401540154,5.36444444444438
"45","D2",15,17.3679213748789,19.2828843995509,25.536,7.28487972508584
"46","D2",16,39.1511627906976,32.0900749063667,19.0428571428573,31.8404255319148
"47","D2",17,23.5531914893617,4.07611111111106,1.78500000000009,1.64531963470318
"48","D2",18,10.7791133156965,12.9447407407406,7.69593253968246,11.6966666666665
"49","D2",19,26.2444105691054,27.4669530355094,25.4534883720931,36.0524269005844
"50","D2",20,5.59432624113469,3.51624999999995,2.75584795321635,2.36725925925923
"51","D2",21,33.6447058823529,57.0122354497348,88.2,79.0652777777769
"52","D2",22,14.96,11.8226804123711,13.1546391752579,8.74949494949494
"53","D2",23,14.8841379310347,13.5484374999998,11.1297297297296,15.8600000000002
"54","D2",24,5.06248908641393,3.6014227642276,10.5824561403508,6.06607744107738
"55","D2",25,9.35464135021086,10.8827127659573,23.1325581395346,6.46647135416659
"56","D2",26,20.8733333333333,18.225,10.1454545454546,7.90199652777769
"57","D2",27,61.2551020408156,68.4205840455832,51.5517241379311,59.2109890109883
"58","D2",28,9.90639223560898,6.83111111111088,16.8725160256408,15.6333333333331
"59","D2",29,34.4329113924047,21.4022988505746,18.7514563106794,23.8050000000004
"60","D2",30,19.772526636225,23.1949122807015,20.7391463056422,19.2499999999999
